FISCAL_YEAR,ATS SYSTEM CODE,LOCATION_CODE,LOCATION_NAME,BEDS NUMBER,MANAGED_BY_NAME,LOCATION_TYPE_DESCRIPTION,LOCATION_CATEGORY_DESCRIPTION,GRADES_TEXT,GRADES_FINAL_TEXT,OPEN_DATE,STATUS_DESCRIPTIONS,PRIMARY_BUILDING_CODE,PRIMARY_ADDRESS_LINE_1,STATE_CODE,X_COORDINATE,Y_COORDINATE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME,PRINCIPAL_NAME,PRINCIPAL_TITLE,PRINCIPAL_PHONE_NUMBER,FAX_NUMBER,GEOGRAPHICAL_DISTRICT_CODE,ADMIN_DISTRICT_LOCATION_CODE,ADMINISTRATIVE_DISTRICT_NAME,COMMUNITY_SCHOOL_SUP_NAME,FIELD_SUPPORT_CENTER_NAME,FIELD_SUPPORT_CENTER_LEADER_NAME,SCHOOL_SUPPORT_TEAM_NAME,SCHOOL_SUPPORT_TEAM_LEADER_NAME,HIGHSCHOOL_NETWORK_LOCATION_CODE,HIGHSCHOOL_NETWORK_NAME,HIGHSCHOOL_NETWORK_SUPERINTENDENT,Location 1
2013,01M015      ,M015,P.S. 015 Roberto Clemente,310100010015,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1904 12:00:00 AM,Open,M015,333 EAST  4 STREET,NY,990141,202349,103,2,2601,1003740020,MN28,Lower East Side                                                            ,IRENE SANCHEZ,PRINCIPAL,212-228-8730,212-477-0931,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"333 EAST 4 STREET
MANHATTAN, NY 10009
(40.722075, -73.978747)"
2013,01M019      ,M019,P.S. 019 Asher Levy,310100010019,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1956 12:00:00 AM,Open,M019,185 1 AVENUE,NY,988547,205239,103,2,4000,1004530034,MN22,East Village                                                               ,JACQUELINE FLANAGAN,PRINCIPAL,212-533-5340,212-673-1477,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"185 1 AVENUE
MANHATTAN, NY 10003
(40.730009, -73.984496)"
2013,01M020      ,M020,P.S. 020 Anna Silver,310100010020,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1963 12:00:00 AM,Open,M020,166 ESSEX STREET,NY,988044,202068,103,1,3001,1003550001,MN27,Chinatown                                                                  ,JAMES LEE,PRINCIPAL,212-254-9577,212-254-3526,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"166 ESSEX STREET
MANHATTAN, NY 10002
(40.721305, -73.986312)"
2013,01M034      ,M034,P.S. 034 Franklin D. Roosevelt,310100010034,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",07/01/1955 12:00:00 AM,Open,M034,730 EAST  12 STREET,NY,991163,203782,103,2,2800,1003810038,MN28,Lower East Side                                                            ,Rosemarie Gonzalez,I.A. PRINCIPAL,212-228-4433,212-353-1973,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"730 EAST 12 STREET
MANHATTAN, NY 10009
(40.726008, -73.975058)"
2013,01M063      ,M063,The STAR Academy - P.S.63,310100010063,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1905 12:00:00 AM,Open,M063,121 EAST  3 STREET,NY,988071,203210,103,2,3200,1004310014,MN22,East Village                                                               ,DARLENE CAMERON,PRINCIPAL,212-674-3180,212-420-9018,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"121 EAST 3 STREET
MANHATTAN, NY 10009
(40.72444, -73.986214)"
2013,01M064      ,M064,P.S. 064 Robert Simon,310100010064,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1954 12:00:00 AM,Open,M064,600 EAST  6 STREET,NY,989351,202733,103,2,2601,1003870001,MN28,Lower East Side                                                            ,Marlon L. Hosang,PRINCIPAL,212-673-6510,212-477-2369,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"600 EAST 6 STREET
MANHATTAN, NY 10009
(40.72313, -73.981597)"
2013,01M110      ,M110,P.S. 110 Florence Nightingale,310100010110,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1902 12:00:00 AM,Open,M110,285 DELANCY STREET,NY,989817,199992,103,1,1200,0,MN28,Lower East Side                                                            ,KAREN FEUER,PRINCIPAL,212-674-2690,212-475-5835,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"285 DELANCY STREET
MANHATTAN, NY 10002
(40.7162, -73.9798)"
2013,01M134      ,M134,P.S. 134 Henrietta Szold,310100010134,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1960 12:00:00 AM,Open,M134,293 EAST BROADWAY,NY,988726,199497,103,1,202,1002880001,MN28,Lower East Side                                                            ,LORETTA CAPUTO,PRINCIPAL,212-673-4470,212-475-6142,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"293 EAST BROADWAY
MANHATTAN, NY 10002
(40.714248, -73.983854)"
2013,01M137      ,M137,P.S. 137 John L. Bernstein,310100010137,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1966 12:00:00 AM,Open,M134,293 EAST BROADWAY,NY,988726,199497,103,1,202,1002880001,MN28,Lower East Side                                                            ,MELISSA RODRIGUEZ,PRINCIPAL,646-602-2140,646-602-2146,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"293 EAST BROADWAY
MANHATTAN, NY 10002
(40.714248, -73.983854)"
2013,01M140      ,M140,P.S. 140 Nathan Straus,310100010140,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",07/01/1959 12:00:00 AM,Open,M140,123 RIDGE STREET,NY,988749,201282,103,1,2201,1003440001,MN28,Lower East Side                                                            ,ESTEBAN BARRIENTOS,PRINCIPAL,212-677-4680,212-677-3907,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"123 RIDGE STREET
MANHATTAN, NY 10002
(40.719148, -73.983769)"
